MFile 1 4 120
MTrk
0 TimeSig 4/4 24 8
0 Tempo 600000
0 Meta TrkEnd
TrkEnd
MTrk
36960 On ch=1 n=78 v=0
36960 On ch=1 n=78 v=64
37320 On ch=1 n=78 v=0
37440 On ch=1 n=76 v=64
37530 On ch=1 n=76 v=0
37530 On ch=1 n=75 v=64
37560 On ch=1 n=75 v=0
37560 On ch=1 n=76 v=64
37590 On ch=1 n=76 v=0
37590 On ch=1 n=75 v=64
37620 On ch=1 n=75 v=0
37620 On ch=1 n=76 v=64
37650 On ch=1 n=76 v=0
37650 On ch=1 n=75 v=64
37680 On ch=1 n=75 v=0
37680 On ch=1 n=76 v=64
37740 On ch=1 n=76 v=0
37740 On ch=1 n=76 v=64
37800 On ch=1 n=76 v=0
37800 On ch=1 n=75 v=64
37860 On ch=1 n=75 v=0
37860 On ch=1 n=73 v=64
37920 On ch=1 n=73 v=0
37920 On ch=1 n=71 v=64
38160 On ch=1 n=71 v=0
38160 On ch=1 n=70 v=64
38400 On ch=1 n=70 v=0
38400 On ch=1 n=66 v=64
38460 On ch=1 n=66 v=0
38460 On ch=1 n=68 v=64
38520 On ch=1 n=68 v=0
38520 On ch=1 n=69 v=64
38580 On ch=1 n=69 v=0
38580 On ch=1 n=66 v=64
38640 On ch=1 n=66 v=0
38640 On ch=1 n=65 v=64
38880 On ch=1 n=65 v=0
38880 On ch=1 n=64 v=64
38940 On ch=1 n=64 v=0
38940 On ch=1 n=66 v=64
39000 On ch=1 n=66 v=0
39000 On ch=1 n=68 v=64
39060 On ch=1 n=68 v=0
39060 On ch=1 n=64 v=64
39120 On ch=1 n=64 v=0
39120 On ch=1 n=63 v=64
39360 On ch=1 n=63 v=0
39360 On ch=1 n=64 v=64
39420 On ch=1 n=64 v=0
39420 On ch=1 n=80 v=64
39480 On ch=1 n=80 v=0
39480 On ch=1 n=80 v=64
39600 On ch=1 n=80 v=0
39840 On ch=1 n=71 v=64
39870 On ch=1 n=71 v=0
39870 On ch=1 n=75 v=64
39960 On ch=1 n=75 v=0
39960 On ch=1 n=75 v=64
40020 On ch=1 n=75 v=0
40020 On ch=1 n=71 v=64
40080 On ch=1 n=71 v=0
40080 On ch=1 n=71 v=64
40140 On ch=1 n=71 v=0
40140 On ch=1 n=71 v=64
40200 On ch=1 n=71 v=0
40200 On ch=1 n=70 v=64
40260 On ch=1 n=70 v=0
40260 On ch=1 n=64 v=64
40320 On ch=1 n=64 v=0
40320 On ch=1 n=63 v=64
40380 On ch=1 n=63 v=0
40380 On ch=1 n=64 v=64
40440 On ch=1 n=64 v=0
40440 On ch=1 n=66 v=64
40500 On ch=1 n=66 v=0
40500 On ch=1 n=69 v=64
40560 On ch=1 n=69 v=0
40560 On ch=1 n=68 v=64
40740 On ch=1 n=68 v=0
40740 On ch=1 n=64 v=64
40800 On ch=1 n=64 v=0
40800 On ch=1 n=63 v=64
40860 On ch=1 n=63 v=0
40860 On ch=1 n=64 v=64
40920 On ch=1 n=64 v=0
40920 On ch=1 n=66 v=64
40980 On ch=1 n=66 v=0
40980 On ch=1 n=69 v=64
41040 On ch=1 n=69 v=0
41040 On ch=1 n=68 v=64
41220 On ch=1 n=68 v=0
41220 On ch=1 n=64 v=64
41280 On ch=1 n=64 v=0
41280 On ch=1 n=64 v=64
41520 On ch=1 n=64 v=0
41520 On ch=1 n=63 v=64
41640 On ch=1 n=63 v=0
42060 On ch=1 n=83 v=64
42120 On ch=1 n=83 v=0
42120 On ch=1 n=81 v=64
42180 On ch=1 n=81 v=0
42180 On ch=1 n=80 v=64
42240 On ch=1 n=80 v=0
42240 On ch=1 n=78 v=64
42360 On ch=1 n=78 v=0
42540 On ch=1 n=78 v=64
42600 On ch=1 n=78 v=0
42600 On ch=1 n=76 v=64
42660 On ch=1 n=76 v=0
42660 On ch=1 n=75 v=64
42720 On ch=1 n=75 v=0
42720 On ch=1 n=73 v=64
42840 On ch=1 n=73 v=0
43020 On ch=1 n=73 v=64
43080 On ch=1 n=73 v=0
43080 On ch=1 n=71 v=64
43140 On ch=1 n=71 v=0
43140 On ch=1 n=70 v=64
43200 On ch=1 n=70 v=0
43200 On ch=1 n=71 v=64
43260 On ch=1 n=71 v=0
43260 On ch=1 n=71 v=64
43320 On ch=1 n=71 v=0
43320 On ch=1 n=71 v=64
43380 On ch=1 n=71 v=0
43380 On ch=1 n=71 v=64
43440 On ch=1 n=71 v=0
43440 On ch=1 n=71 v=64
43500 On ch=1 n=71 v=0
43500 On ch=1 n=71 v=64
43560 On ch=1 n=71 v=0
43560 On ch=1 n=71 v=64
43620 On ch=1 n=71 v=0
43620 On ch=1 n=71 v=64
