Title,ViewDate,Year,Rated,Genre,Director,Writer,Actors,Language,imdbRating,imdbID
Like Father,2020-07-15,2018,TV-MA,"Comedy, Drama",Lauren Miller Rogen,"Lauren Miller Rogen, Anders Bard","Kristen Bell, Danielle Davenport, Kimiko Glenn",English,6.1,tt7170950
"Like Sunday, Like Rain",2016-02-06,2014,R,"Drama, Music",Frank Whaley,Frank Whaley,"Julian Shatkin, Olga Merediz, Debra Messing",English,6.9,tt3104818
Lila,2016-02-07,2014,Not Rated,"Animation, Short, Adventure",Carlos Lascano,Carlos Lascano,Alma García,N/A,7.5,tt3443482
Living on One Dollar,2015-01-21,2013,TV-14,"Documentary, Adventure, Drama","Zach Ingrasci, Sean Leonard, Chris Temple",N/A,"Chris Temple, Zach Ingrasci, Sean Leonard",English,7.3,tt2625598
Living with Yourself,2019-11-25,2019–,TV-MA,"Comedy, Drama, Sci-Fi",N/A,Timothy Greenberg,"Paul Rudd, Aisling Bea, Desmin Borges",English,7.2,tt8880894
Longmire,2016-02-07,2012–2017,TV-14,"Action, Crime, Drama",N/A,"Hunt Baldwin, John Coveny","Robert Taylor, Katee Sackhoff, Lou Diamond Phillips","English, French",8.3,tt1836037
Lost in Space,2020-03-04,2018–,TV-PG,"Adventure, Drama, Family",N/A,"Matt Sazama, Burk Sharpless, Irwin Allen","Maxwell Jenkins, Molly Parker, Toby Stephens",English,7.3,tt5232792
Louis C.K.: Hilarious,2016-10-28,2010,Not Rated,Comedy,Louis C.K.,Louis C.K.,Louis C.K.,English,8.4,tt1421373
Louis C.K. 2017,2017-04-05,2017,TV-MA,Comedy,Louis C.K.,Louis C.K.,Louis C.K.,English,7.6,tt6736782
Love,2018-04-16,2015,TV-MA,"Drama, Romance",Gaspar Noé,Gaspar Noé,"Aomi Muyock, Karl Glusman, Klara Kristin","English, French",6.1,tt3774694
Love on the Spectrum,2020-07-27,2019–,TV-14,"Documentary, Reality-TV, Romance",N/A,N/A,"Michael Theo, Kelvin Wong, Mark Radburn",English,8.5,tt11904786
"Love, Death & Robots",2019-03-25,2019–,TV-MA,"Animation, Short, Comedy",N/A,Tim Miller,"Scott Whyte, Nolan North, Steven Pacey",English,8.5,tt9561862
Loving,2021-01-22,2016,PG-13,"Biography, Drama, Romance",Jeff Nichols,"Jeff Nichols, Nancy Buirski","Ruth Negga, Joel Edgerton, Will Dalton",English,7.0,tt4669986
Luther,2017-04-27,2010–2019,TV-MA,"Crime, Drama, Mystery",N/A,Neil Cross,"Idris Elba, Dermot Crowley, Michael Smiley",English,8.4,tt1474684
Mindhunter,2019-08-30,2017–2019,TV-MA,"Crime, Drama, Thriller",N/A,Joe Penhall,"Jonathan Groff, Holt McCallany, Anna Torv",English,8.6,tt5290382
Mad Max,2017-04-23,1979,R,"Action, Adventure, Sci-Fi",George Miller,"James McCausland, George Miller, Byron Kennedy","Mel Gibson, Joanne Samuel, Hugh Keays-Byrne",English,6.9,tt0079501
Mad Men,2020-05-20,2007–2015,TV-14,Drama,N/A,Matthew Weiner,"Jon Hamm, Elisabeth Moss, Vincent Kartheiser",English,8.6,tt0804503
Magic Mike,2014-08-24,2012,R,"Comedy, Drama",Steven Soderbergh,Reid Carolin,"Channing Tatum, Alex Pettyfer, Olivia Munn",English,6.1,tt1915581
Magic in the Moonlight,2015-04-03,2014,PG-13,"Comedy, Drama, Romance",Woody Allen,Woody Allen,"Colin Firth, Emma Stone, Marcia Gay Harden","English, French",6.5,tt2870756
Major League,2013-09-07,1989,R,"Comedy, Sport",David S. Ward,David S. Ward,"Tom Berenger, Charlie Sheen, Corbin Bernsen","English, Spanish, Japanese",7.2,tt0097815
Making the Witcher,2020-09-02,2020,N/A,Documentary,Nathan Wiley,N/A,"Henry Cavill, Lauren Schmidt, Tomasz Baginski, Andrew Laws",English,6.8,tt12987838
Making a Murderer,2017-04-02,2015–2018,TV-14,"Documentary, Crime",N/A,N/A,"Steven Avery, Dolores Avery, Laura Nirider",English,8.6,tt5189670
Mamma Mia!,2018-06-20,2008,PG-13,"Comedy, Musical, Romance",Phyllida Lloyd,Catherine Johnson,"Meryl Streep, Pierce Brosnan, Amanda Seyfried","English, Greek",6.4,tt0795421
Man vs Snake: The Long and Twisted Tale of Nibbler,2016-11-29,2015,Not Rated,Documentary,"Tim Kinzy, Andrew Seklir",N/A,"Tim McVey, Walter Day, Dwayne Richard",English,7.0,tt2933794
Maniac,2018-10-18,2018,TV-MA,"Comedy, Drama, Sci-Fi",N/A,"Cary Joji Fukunaga, Patrick Somerville","Jonah Hill, Emma Stone, Sonoya Mizuno",English,7.8,tt5580146
Marcella,2016-09-09,2016–,TV-MA,"Crime, Drama, Mystery",N/A,"Hans Rosenfeldt, Nicola Larder","Anna Friel, Ray Panthaki, Jack Doolan",English,7.4,tt5269594
Maron,2018-07-10,2013–2016,TV-MA,Comedy,N/A,Marc Maron,"Marc Maron, Dave Anthony, Andy Kindler",English,7.7,tt2520512
Marriage Story,2019-12-06,2019,R,"Comedy, Drama, Romance",Noah Baumbach,Noah Baumbach,"Adam Driver, Scarlett Johansson, Julia Greer","English, Spanish",7.9,tt7653254
Mars,2019-02-07,2016–2018,TV-PG,"Adventure, Drama, Sci-Fi",N/A,"André Bormanis, Mickey Fisher, Karen Janszen","Jihae, Alberto Ammann, Clémentine Poidatz",English,7.5,tt4939064
Marvel's Agents of S.H.I.E.L.D.: Academy,2016-07-25,2016,N/A,"Action, Sci-Fi",N/A,N/A,"Ralph Lammie Jr., Noelle Ann Mabry",English,7.0,tt6243582
Mascots,2016-11-24,2016,TV-MA,Comedy,Christopher Guest,"Christopher Guest, Jim Piddock","Zach Woods, Wayne Wilderson, Sarah Baker",English,5.8,tt4936176
Master of None,2017-05-30,2015–,TV-MA,"Comedy, Drama",N/A,"Aziz Ansari, Alan Yang","Aziz Ansari, Eric Wareheim, Lena Waithe",English,8.3,tt4635276
Masterminds,2017-07-28,2016,PG-13,"Biography, Comedy, Crime",Jared Hess,"Chris Bowman, Hubbel Palmer, Emily Spivey","Zach Galifianakis, Kristen Wiig, Owen Wilson","English, Spanish",5.8,tt2461150
"McFarland, USA",2017-04-08,2015,PG,"Biography, Drama, Sport",Niki Caro,"Christopher Cleveland, Bettina Gilois, Grant Thompson","Kevin Costner, Maria Bello, Ramiro Rodriguez","English, Spanish",7.4,tt2097298
Meadowland,2016-07-14,2015,R,Drama,Reed Morano,Chris Rossi,"Olivia Wilde, Luke Wilson, Giovanni Ribisi",English,5.8,tt3529656
Mean Girls,2015-03-26,2004,PG-13,Comedy,Mark Waters,"Rosalind Wiseman, Tina Fey","Lindsay Lohan, Jonathan Bennett, Rachel McAdams","English, German, Vietnamese, Swahili",7.0,tt0377092
Medici,2019-02-17,2016–2019,TV-14,"Biography, Drama, History",N/A,"Nicholas Meyer, Frank Spotnitz","Daniel Sharman, Alessandra Mastronardi, Synnove Karlsen",English,7.9,tt5057130
Mega Shark vs. Crocosaurus,2013-08-16,2010,R,"Action, Adventure, Comedy, Horror, Sci-Fi, Thriller",Christopher Ray,"Micho Rutare (story), Naomi L. Selfman (screenplay)","Gary Stretch, Jaleel White, Sarah Lieving, Robert Picardo","English, French, Spanish",2.4,tt1705773
Melancholia,2015-10-11,2011,R,"Drama, Sci-Fi",Lars von Trier,Lars von Trier,"Kirsten Dunst, Charlotte Gainsbourg, Kiefer Sutherland",English,7.2,tt1527186
Mercenary,2017-03-04,1996,Not Rated,"Action, Drama, Thriller",Avi Nesher,"Patrick Highsmith (story), Patrick Highsmith (screenplay), Steven Hartov (screenplay), Beverly Graf (story editor), Eden Harvest (story editor), Evan Spiliotopoulos (story editor)","Olivier Gruner, John Ritter, Robert Culp, Ed Lauter",English,5.0,tt0119660
"Michael Bolton's Big, Sexy Valentine's Day Special",2017-02-25,2017,TV-MA,"Comedy, Music, Musical, Romance","Scott Aukerman, Akiva Schaffer","Scott Aukerman, David Ferguson, Mike Hanford, Tim Kalpakis, Zach Kanin (additional material written by), Claudia O'Doherty (additional material written by), Tim Robinson (additional material written by), Joe Saunders","Michael Bolton, Sarah Shahi, Adam Scott, Matthew Kimbrough",English,6.7,tt6343706
Middleditch & Schwartz,2021-06-22,2020–,TV-MA,Comedy,N/A,"Thomas Middleditch, Ben Schwartz","Thomas Middleditch, Ben Schwartz",English,8.6,tt12027034
Midnight Special,2020-09-12,2016,PG-13,"Drama, Mystery, Sci-Fi",Jeff Nichols,Jeff Nichols,"Michael Shannon, Joel Edgerton, Kirsten Dunst",English,6.6,tt2649554
Million Dollar Baby,2016-10-10,2004,PG-13,"Drama, Sport",Clint Eastwood,"Paul Haggis, F.X. Toole","Hilary Swank, Clint Eastwood, Morgan Freeman","English, Irish Gaelic",8.1,tt0405159
Minimalism: A Documentary About the Important Things,2017-04-02,2015,Not Rated,Documentary,Matt D'Avella,N/A,"Dan Harris, Ryan Nicodemus, Rick Hanson",English,6.7,tt3810760
Minority Report,2014-11-27,2002,PG-13,"Action, Crime, Mystery",Steven Spielberg,"Philip K. Dick, Scott Frank, Jon Cohen","Tom Cruise, Colin Farrell, Samantha Morton","English, Swedish",7.6,tt0181689
Miracle,2020-03-27,2004,PG,"Biography, Drama, History",Gavin O'Connor,Eric Guggenheim,"Kurt Russell, Patricia Clarkson, Nathan West",English,7.5,tt0349825
Miss Stevens,2018-08-13,2016,Not Rated,"Comedy, Drama",Julia Hart,"Julia Hart, Jordan Horowitz","Lily Rabe, Timothée Chalamet, Lili Reinhart",English,6.6,tt2693580
Mohawk,2018-07-08,2017,N/A,"Action, Drama, History",Ted Geoghegan,"Ted Geoghegan, Grady Hendrix","Kaniehtiio Horn, Ezra Buzzington, Eamon Farren","English, Mohawk, French",4.6,tt5189828
Mona Lisa Smile,2014-08-11,2003,PG-13,Drama,Mike Newell,"Lawrence Konner, Mark Rosenthal","Julia Roberts, Kirsten Dunst, Julia Stiles","English, Italian",6.5,tt0304415
Moneyball,2020-10-21,2011,PG-13,"Biography, Drama, Sport",Bennett Miller,"Steven Zaillian, Aaron Sorkin, Stan Chervin","Brad Pitt, Robin Wright, Jonah Hill",English,7.6,tt1210166
Monsters,2016-02-06,2010,R,"Adventure, Drama, Romance",Gareth Edwards,Gareth Edwards,"Scoot McNairy, Whitney Able, Mario Zuniga Benavides","English, Spanish",6.4,tt1470827
Monsters University,2017-02-26,2013,G,"Animation, Adventure, Comedy",Dan Scanlon,"Dan Scanlon, Daniel Gerson, Robert L. Baird","Billy Crystal, John Goodman, Steve Buscemi",English,7.2,tt1453405
Moon,2017-02-13,2009,R,"Drama, Mystery, Sci-Fi",Duncan Jones,"Duncan Jones, Nathan Parker","Sam Rockwell, Kevin Spacey, Dominique McElligott","English, Spanish",7.8,tt1182345
Moonlight,2019-11-16,2016,R,Drama,Barry Jenkins,"Barry Jenkins, Tarell Alvin McCraney","Mahershala Ali, Naomie Harris, Trevante Rhodes",English,7.4,tt4975722
Moonrise Kingdom,2017-03-12,2012,PG-13,"Comedy, Drama, Romance",Wes Anderson,"Wes Anderson, Roman Coppola","Jared Gilman, Kara Hayward, Bruce Willis",English,7.8,tt1748122
More Than a Game,2018-03-28,2008,PG,"Documentary, Biography, Sport",Kristopher Belman,"Kristopher Belman, Brad Hogan","LeBron James, Dru Joyce, Romeo Travis",English,7.6,tt1286821
Morning Glory,2017-04-26,2010,PG-13,"Comedy, Drama, Romance",Roger Michell,Aline Brosh McKenna,"Rachel McAdams, Harrison Ford, Diane Keaton","English, Ukrainian",6.5,tt1126618
Mortal Kombat,2017-09-15,2021,R,"Action, Adventure, Fantasy",Simon McQuoid,"Greg Russo, Dave Callaham, Oren Uziel","Lewis Tan, Jessica McNamee, Josh Lawson","English, Japanese, Chinese",6.1,tt0293429
Moxie,2021-03-06,2021,PG-13,"Comedy, Drama, Music",Amy Poehler,"Jennifer Mathieu, Tamara Chestna, Dylan Meyer","Hadley Robinson, Lauren Tsai, Alycia Pascual-Pena",English,6.7,tt6432466
Mr. Deeds,2020-08-17,2002,PG-13,"Comedy, Romance",Steven Brill,"Clarence Budington Kelland, Robert Riskin, Tim Herlihy","Adam Sandler, Winona Ryder, John Turturro",English,5.8,tt0280590
Mr. Right,2021-08-25,2015,R,"Action, Comedy, Romance",Paco Cabezas,Max Landis,"Anna Kendrick, Sam Rockwell, Tim Roth",English,6.4,tt2091935
Mud,2016-10-31,2012,PG-13,Drama,Jeff Nichols,Jeff Nichols,"Matthew McConaughey, Tye Sheridan, Jacob Lofland",English,7.4,tt1935179
Mudbound,2018-01-12,2017,R,"Drama, War",Dee Rees,"Virgil Williams, Dee Rees, Hillary Jordan","Jason Mitchell, Carey Mulligan, Jason Clarke",English,7.4,tt2396589
Murder Mystery,2019-06-15,2019,PG-13,"Action, Comedy, Crime",Kyle Newacheck,James Vanderbilt,"Adam Sandler, Jennifer Aniston, Luke Evans","English, French, Latin, Spanish",6.0,tt1618434
Music and Lyrics,2019-04-08,2007,PG-13,"Comedy, Music, Romance",Marc Lawrence,Marc Lawrence,"Hugh Grant, Drew Barrymore, Scott Porter",English,6.5,tt0758766
Must Love Dogs,2018-11-03,2005,PG-13,"Comedy, Romance",Gary David Goldberg,"Claire Cook, Gary David Goldberg","Diane Lane, John Cusack, Elizabeth Perkins","English, Armenian",5.9,tt0417001
Mute,2018-03-21,2018,TV-MA,"Mystery, Sci-Fi, Thriller",Duncan Jones,"Michael Robert Johnson, Duncan Jones","Alexander Skarsgård, Paul Rudd, Justin Theroux","English, German",5.5,tt1464763
My Life Directed by Nicolas Winding Refn,2015-09-02,2014,PG-13,Documentary,Liv Corfixen,Liv Corfixen,"Liv Corfixen, Nicolas Winding Refn, Ryan Gosling","English, Danish",6.5,tt4029998
My Next Guest Needs No Introduction with David Letterman,2018-01-15,2018–,TV-MA,Talk-Show,N/A,David Letterman,"David Letterman, Kim Kardashian, George Clooney",English,7.9,tt7829834
Nadiya Bakes,2021-03-12,2020–,TV-G,Documentary,N/A,N/A,"Nadiya Hussain, Richard Bertinet, Ravneet Gill",English,7.1,tt11714872
Nailed It! Holiday!,2018-12-18,2018–,TV-PG,Reality-TV,N/A,N/A,"Nicole Byer, Jacques Torres, Charity George",English,7.7,tt8760264
Naked Among Wolves,2015-12-08,2015,Not Rated,"Drama, History, War",Philipp Kadelbach,"Bruno Apitz (novel), Eugen Kogon (Der SS-Staat), Stefan Kolditz (screenplay)","Florian Stetter, Peter Schneider, Sylvester Groth, Sabin Tambrea","German, Polish, French, Spanish, English",7.2,tt3822818
Narcos,2016-02-07,2015–2017,TV-MA,"Biography, Crime, Drama",N/A,"Carlo Bernard, Chris Brancato, Doug Miro","Pedro Pascal, Lizbeth Eden, Wagner Moura","English, Spanish",8.8,tt2707408
Never Have I Ever,2020-07-03,2020–,TV-14,Comedy,N/A,"Lang Fisher, Mindy Kaling","Maitreyi Ramakrishnan, Poorna Jagannathan, Darren Barnet",English,7.9,tt10062292
Next Gen,2018-10-12,2018,TV-PG,"Animation, Action, Adventure","Kevin R. Adams, Joe Ksander, Ricardo Curtis","Kevin R. Adams, Joe Ksander, Wang Nima","John Krasinski, Charlyne Yi, Jason Sudeikis","English, Mandarin",6.6,tt7133686
Nick Offerman: American Ham,2014-12-19,2014,N/A,"Documentary, Comedy",Jordan Vogt-Roberts,Nick Offerman,"Marc Evan Jackson, Megan Mullally, Nick Offerman",English,6.7,tt3441700
Nick and Norah's Infinite Playlist,2014-04-29,2008,PG-13,"Comedy, Drama, Music",Peter Sollett,"Lorene Scafaria, Rachel Cohn, David Levithan","Michael Cera, Kat Dennings, Aaron Yoo",English,6.6,tt0981227
Nightcrawler,2015-05-29,2014,R,"Crime, Drama, Thriller",Dan Gilroy,Dan Gilroy,"Jake Gyllenhaal, Rene Russo, Bill Paxton",English,7.8,tt2872718
No Country for Old Men,2015-01-25,2007,R,"Crime, Drama, Thriller","Ethan Coen, Joel Coen","Joel Coen, Ethan Coen, Cormac McCarthy","Tommy Lee Jones, Javier Bardem, Josh Brolin","English, Spanish",8.1,tt0477348
No Reservations,2017-10-05,2007,PG,"Comedy, Drama, Romance",Scott Hicks,"Carol Fuchs, Sandra Nettelbeck","Catherine Zeta-Jones, Aaron Eckhart, Abigail Breslin",English,6.3,tt0481141
Norsemen,2020-07-29,2016–2020,TV-MA,Comedy,N/A,"Jon Iver Helgaker, Jonas Torgersen","Kåre Conradi, Nils Jørgen Kaalstad, Jon Øigarden","Norwegian, English",7.8,tt5905354
Nova,2014-07-01,1974–,TV-PG,Documentary,N/A,"Daniel Hart, Alan Kwan, Tacita Morway","Jay O. Sanders, Craig Sechler, Lance Lewman",English,8.7,tt0206501
Obvious Child,2018-08-13,2014,R,"Comedy, Drama, Romance",Gillian Robespierre,"Gillian Robespierre, Karen Maine, Elisabeth Holm","Jenny Slate, Jake Lacy, Gaby Hoffmann",English,6.8,tt2910274
Off Camera,2016-07-23,2018–,N/A,"News, Talk-Show",N/A,N/A,Amalia Katzou,Greek,N/A,tt8077388
Office Space,2014-10-21,1999,R,Comedy,Mike Judge,Mike Judge,"Ron Livingston, Jennifer Aniston, David Herman",English,7.7,tt0151804
"Oh, Hello on Broadway",2020-01-20,2017,TV-MA,Comedy,"Michael John Warren, Alex Timbers","Nick Kroll, John Mulaney","Nick Kroll, John Mulaney, Steve Martin",English,7.7,tt6987652
Okja,2017-07-04,2017,TV-MA,"Action, Adventure, Drama",Bong Joon Ho,"Bong Joon Ho, Jon Ronson","Tilda Swinton, Paul Dano, Seo-hyun Ahn","English, Korean, Spanish",7.3,tt3967856
On My Block,2018-03-26,2018–,TV-14,"Comedy, Drama",N/A,"Eddie Gonzalez, Jeremy Haft, Lauren Iungerich","Sierra Capri, Jason Genao, Brett Gray",English,8.0,tt7879820
Once Upon a Time in America,2018-10-27,1984,R,"Crime, Drama",Sergio Leone,"Harry Grey, Leonardo Benvenuti, Piero De Bernardi","Robert De Niro, James Woods, Elizabeth McGovern","English, Italian, French, Yiddish, Hebrew",8.4,tt0087843
One Flew Over the Cuckoo's Nest,2020-09-18,1975,R,Drama,Milos Forman,"Lawrence Hauben, Bo Goldman, Ken Kesey","Jack Nicholson, Louise Fletcher, Michael Berryman",English,8.7,tt0073486
One in a Billion,2017-01-01,2016,N/A,Documentary,Roman Gackowski,N/A,"Dan Barto, Balbir Singh Bhamara, Satnam Singh Bhamara","English, Punjabi",6.7,tt6045798
Only Lovers Left Alive,2014-12-12,2013,R,"Comedy, Drama, Fantasy",Jim Jarmusch,"Jim Jarmusch, Marion Bessay","Tilda Swinton, Tom Hiddleston, Mia Wasikowska","English, French, Arabic, Turkish",7.3,tt1714915
Orange Is the New Black,2016-06-26,2013–2019,TV-MA,"Comedy, Crime, Drama",N/A,Jenji Kohan,"Taylor Schilling, Danielle Brooks, Taryn Manning",English,8.0,tt2372162
Original Sin,2013-11-02,2001,R,"Drama, Mystery, Romance",Michael Cristofer,"Cornell Woolrich, Michael Cristofer","Antonio Banderas, Angelina Jolie, Thomas Jane","English, German, Japanese, Latin, Spanish",6.1,tt0218922
Other People,2018-02-18,2016,Unrated,"Comedy, Drama",Chris Kelly,Chris Kelly,"Jesse Plemons, Molly Shannon, Bradley Whitford",English,6.8,tt4158876
Our Idiot Brother,2013-10-05,2011,R,"Comedy, Drama",Jesse Peretz,"Jesse Peretz, Evgenia Peretz, David Schisgall","Paul Rudd, Elizabeth Banks, Zooey Deschanel",English,6.4,tt1637706
Our Planet,2019-04-22,2019,TV-G,Documentary,N/A,N/A,David Attenborough,English,9.3,tt9253866
Our World War,2015-10-16,2014–,Not Rated,"Action, Drama, War",N/A,N/A,"Nicki Vickery, Rob Townsend, Gerard Kearns",English,8.2,tt3419604
Outbreak,2020-03-28,1995,R,"Action, Drama, Thriller",Wolfgang Petersen,"Laurence Dworet, Robert Roy Pool","Dustin Hoffman, Rene Russo, Morgan Freeman","English, Korean, French",6.6,tt0114069
Outlander,2016-09-07,2014–,TV-MA,"Drama, Fantasy, Romance",N/A,Ronald D. Moore,"Caitriona Balfe, Sam Heughan, Duncan Lacroix","English, Gaelic",8.4,tt3006802
Outside In,2018-06-27,2017,Not Rated,Drama,Lynn Shelton,"Lynn Shelton, Jay Duplass","Edie Falco, Jay Duplass, Louis Hobson",English,6.7,tt7260048
Ozark,2017-09-04,2017–,TV-MA,"Crime, Drama, Thriller",N/A,"Bill Dubuque, Mark Williams","Jason Bateman, Laura Linney, Sofia Hublitz",English,8.4,tt5071412
Pacific Rim,2016-12-30,2013,PG-13,"Action, Adventure, Sci-Fi",Guillermo del Toro,"Travis Beacham, Guillermo del Toro","Idris Elba, Charlie Hunnam, Rinko Kikuchi","English, Japanese, Cantonese, Mandarin",6.9,tt1663662
Paddleton,2019-07-10,2019,TV-MA,"Comedy, Drama",Alex Lehmann,"Mark Duplass, Alex Lehmann","Christine Woods, Mark Duplass, Ray Romano",English,7.2,tt8041276
Page One,2013-12-17,2017,N/A,"Short, Horror",Don P. Hooper,Tarik Davis,"Dorcas Davis, Tarik Davis, Joshua Mesnik",English,7.2,tt8381866
Parallels,2015-03-11,2015,Not Rated,"Action, Sci-Fi",Christopher Leone,"Laura Harkcom, Christopher Leone","Mark Hapka, Jessica Rothe, Eric Jungmann",English,6.1,tt3479316
Parks and Recreation,2020-03-06,2009–2015,TV-14,Comedy,N/A,"Greg Daniels, Michael Schur","Amy Poehler, Jim O'Heir, Nick Offerman",English,8.6,tt1266020
Particle Fever,2015-01-29,2013,Not Rated,Documentary,Mark Levinson,N/A,"David Kaplan, Fabiola Gianotti, Sherwood Boehlert",English,7.4,tt1385956
Pasta,2013-12-02,2010–,N/A,"Comedy, Drama, Romance",N/A,N/A,"Kong Hyo-Jin, Sun-kyun Lee, Lee Hanee",Korean,7.7,tt2181460
Patriot Act with Hasan Minhaj,2020-05-20,2018–2020,TV-MA,"Comedy, News, Talk-Show",N/A,"Hasan Minhaj, Prashanth Venkataramanujam","Hasan Minhaj, Joyelle Johnson, Arnab Goswami",English,8.3,tt8080054
Patton Oswalt: Annihilation,2020-05-31,2017,TV-MA,Comedy,Bobcat Goldthwait,Patton Oswalt,Patton Oswalt,English,7.2,tt7026230
Peaky Blinders,2020-12-24,2013–,TV-MA,"Crime, Drama",N/A,Steven Knight,"Cillian Murphy, Paul Anderson, Helen McCrory","Italian, Yiddish, English, Romanian, Irish Gaelic",8.8,tt2442560
People Like Us,2016-11-28,2012,PG-13,"Comedy, Drama",Alex Kurtzman,"Alex Kurtzman, Roberto Orci, Jody Lambert","Chris Pine, Elizabeth Banks, Michelle Pfeiffer","English, Spanish",7.1,tt1716777
People Places Things,2015-11-19,2015,R,"Comedy, Romance",Jim Strouse,Jim Strouse,"Jemaine Clement, Regina Hall, Jessica Williams",English,6.9,tt4104022
Perfect Bid: The Contestant Who Knew Too Much,2019-05-18,2017,TV-PG,"Documentary, History",C.J. Wallis,N/A,"Theodore Slauson, Bob Barker, Roger Dobkowitz",English,6.6,tt6854248
Person of Interest,2016-01-09,2011–2016,TV-14,"Action, Crime, Drama",N/A,Jonathan Nolan,"Jim Caviezel, Taraji P. Henson, Kevin Chapman",English,8.4,tt1839578
Personal Shopper,2019-04-20,2016,R,"Mystery, Thriller",Olivier Assayas,Olivier Assayas,"Kristen Stewart, Lars Eidinger, Sigrid Bouaziz","English, French, Swedish, German",6.1,tt4714782
Pete Davidson: Alive from New York,2020-02-25,2020,TV-MA,Comedy,Jason Orley,Pete Davidson,"Pete Davidson, Elliot Schiff",English,6.1,tt11474156
Philadelphia,2020-02-21,1993,PG-13,Drama,Jonathan Demme,Ron Nyswaner,"Tom Hanks, Denzel Washington, Roberta Maxwell",English,7.7,tt0107818
Pirates of the Caribbean: The Curse of the Black Pearl,2019-03-29,2003,PG-13,"Action, Adventure, Fantasy",Gore Verbinski,"Ted Elliott, Terry Rossio, Stuart Beattie","Johnny Depp, Geoffrey Rush, Orlando Bloom",English,8.0,tt0325980
Planet Earth,2015-11-08,2006,TV-PG,Documentary,N/A,N/A,"David Attenborough, Sigourney Weaver, Thomas Anguti Johnston",English,9.4,tt0795176
Planet Earth II,2019-11-19,2016,TV-G,Documentary,N/A,N/A,David Attenborough,"French, English",9.5,tt5491994
Platoon,2019-07-25,1986,R,"Drama, War",Oliver Stone,Oliver Stone,"Charlie Sheen, Tom Berenger, Willem Dafoe","English, Vietnamese",8.1,tt0091763
Playing It Cool,2018-07-02,2014,R,"Comedy, Romance",Justin Reardon,"Chris Shafer, Paul Vicknair","Chris Evans, Michelle Monaghan, Topher Grace","English, Korean",6.0,tt2139555
Pleasantville,2016-05-09,1998,PG-13,"Comedy, Drama, Fantasy",Gary Ross,Gary Ross,"Tobey Maguire, Jeff Daniels, Joan Allen",English,7.5,tt0120789
Portlandia,2017-12-01,2011–2018,TV-14,Comedy,N/A,"Fred Armisen, Carrie Brownstein, Jonathan Krisel","Fred Armisen, Carrie Brownstein, Kyle MacLachlan",English,7.8,tt1780441
Poseidon,2018-10-27,2006,PG-13,"Action, Adventure, Thriller",Wolfgang Petersen,"Mark Protosevich, Paul Gallico","Richard Dreyfuss, Kurt Russell, Emmy Rossum","English, Spanish",5.7,tt0409182
Poster Girl,2014-02-11,2010,Not Rated,"Documentary, Short, Biography",Sara Nesson,N/A,N/A,English,6.8,tt1505384
Premium Rush,2014-08-10,2012,PG-13,"Action, Crime, Thriller",David Koepp,"David Koepp, John Kamps","Joseph Gordon-Levitt, Michael Shannon, Dania Ramirez","English, Mandarin, Cantonese",6.5,tt1547234
Pride,2020-07-18,2014,R,"Biography, Comedy, Drama",Matthew Warchus,Stephen Beresford,"Bill Nighy, Imelda Staunton, Dominic West","English, Welsh",7.8,tt3169706
Primal Fear,2016-05-27,1996,R,"Crime, Drama, Mystery",Gregory Hoblit,"William Diehl, Steve Shagan, Ann Biderman","Richard Gere, Laura Linney, Edward Norton","English, Spanish",7.7,tt0117381
Primer,2016-02-06,2004,PG-13,"Drama, Sci-Fi, Thriller",Shane Carruth,Shane Carruth,"Shane Carruth, David Sullivan, Casey Gooden","English, French",6.9,tt0390384
Private Life,2018-11-04,2018,R,"Comedy, Drama",Tamara Jenkins,Tamara Jenkins,"Kathryn Hahn, Paul Giamatti, Gabrielle Reid",English,7.2,tt5536610
Project Power,2020-08-21,2020,R,"Action, Crime, Sci-Fi","Henry Joost, Ariel Schulman",Mattson Tomlin,"Jamie Foxx, Joseph Gordon-Levitt, Dominique Fishback","English, Spanish",6.0,tt7550000
Pulp Fiction,2019-05-03,1994,R,"Crime, Drama",Quentin Tarantino,"Quentin Tarantino, Roger Avary","John Travolta, Uma Thurman, Samuel L. Jackson","English, Spanish, French",8.9,tt0110912
Punch-Drunk Love,2019-04-21,2002,R,"Comedy, Drama, Romance",Paul Thomas Anderson,Paul Thomas Anderson,"Adam Sandler, Emily Watson, Philip Seymour Hoffman",English,7.3,tt0272338
QB1: Beyond the Lights,2020-08-11,2017–,TV-14,"Documentary, Sport",N/A,N/A,"Tayvon Bowers, Jake Fromm, Tate Martell",English,7.8,tt5771332
Queer Eye,2019-03-21,2018–,TV-14,Reality-TV,N/A,N/A,"Bobby Berk, Karamo Brown, Tan France",English,8.5,tt7259746
Quiz Show,2018-06-26,1994,PG-13,"Biography, Drama, History",Robert Redford,"Paul Attanasio, Richard N. Goodwin","Ralph Fiennes, John Turturro, Rob Morrow",English,7.5,tt0110932
Roma,2019-03-06,2018,R,Drama,Alfonso Cuarón,Alfonso Cuarón,"Yalitza Aparicio, Marina de Tavira, Diego Cortina Autrey","Spanish, Mixtec, English, Japanese, German, French, Norwegian",7.7,tt6155172
Raging Bull,2020-03-07,1980,R,"Biography, Drama, Sport",Martin Scorsese,"Jake LaMotta, Joseph Carter, Peter Savage","Robert De Niro, Cathy Moriarty, Joe Pesci",English,8.2,tt0081398
